SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1061 Florida St,San Francisco,CA,94110,2195000,3,2.0,San Francisco,2412,2600,,3,910,,Active,September-12-2021 10:00 AM,September-12-2021 12:00 PM,http://www.redfin.com/CA/San-Francisco/1061-Florida-St-94110/home/1510589,San Francisco MLS,421592671,N,Y,37.7549121,-122.4101145
MLS Listing,,Single Family Residential,79 28th St,San Francisco,CA,94110,2495000,3,3.0,San Francisco,,2931,1906,3,,,Active,,,http://www.redfin.com/CA/San-Francisco/79-28th-St-94110/home/1972056,San Francisco MLS,421576138,N,Y,37.745233,-122.423846
MLS Listing,,Condo/Co-op,2829 25th St #4,San Francisco,CA,94110,2449000,3,3.5,San Francisco,1975,,1900,3,1240,682,Active,September-12-2021 04:00 PM,September-12-2021 05:30 PM,http://www.redfin.com/CA/San-Francisco/2829-25th-St-94110/unit-4/home/173396725,San Francisco MLS,421592688,N,Y,37.7510579,-122.4067261
MLS Listing,,Condo/Co-op,2829 25th St #3,San Francisco,CA,94110,1495000,3,2.5,San Francisco,1464,,1900,3,1021,542,Active,September-12-2021 04:00 PM,September-12-2021 05:30 PM,http://www.redfin.com/CA/San-Francisco/2829-25th-St-94110/unit-3/home/173284075,San Francisco MLS,421592687,N,Y,37.7510579,-122.4067261
MLS Listing,,Condo/Co-op,555 Bartlett St #308,San Francisco,CA,94110,1195000,2,2.0,San Francisco,,30646,,3,,544,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/555-Bartlett-St-94110/unit-308/home/40143351,San Francisco MLS,421590537,N,Y,37.7484221,-122.4190361
MLS Listing,,Single Family Residential,71 Los Palmos Dr,San Francisco,CA,94127,1349000,3,1.5,San Francisco,1415,2208,1955,3,953,,Active,September-11-2021 02:30 PM,September-11-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/71-Los-Palmos-Dr-94127/home/694392,San Francisco MLS,421591058,N,Y,37.7348467,-122.4474337
MLS Listing,,Multi-Family (2-4 Unit),134 - 136 Hartford St,San Francisco,CA,94114,895000,2,2.0,San Francisco,2000,3497,1900,3,448,,Active,September-12-2021 11:00 AM,September-12-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/134-Hartford-St-94114/unit-136/home/1470676,San Francisco MLS,421592449,N,Y,37.7603038,-122.4341537
MLS Listing,,Condo/Co-op,1268 Lombard St #2,San Francisco,CA,94109,3299000,3,2.0,San Francisco,,4261,2013,3,,646,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1268-Lombard-St-94109/unit-2/home/52208350,San Francisco MLS,421592128,N,Y,37.8018501,-122.4224317
MLS Listing,,Condo/Co-op,3234 Washington St #2,San Francisco,CA,94115,799000,1,1.0,San Francisco,732,3863,1970,3,1092,362,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3234-Washington-St-94115/unit-2/home/12110590,San Francisco MLS,421589059,N,Y,37.7913954,-122.4360307
MLS Listing,,Single Family Residential,161 Concord St,San Francisco,CA,94112,1088000,3,2.0,San Francisco,1302,2996,1926,3,836,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/161-Concord-St-94112/home/1328138,San Francisco MLS,421592613,N,Y,37.7114187,-122.4421898
